cell_type,A_1w,B_1w,C_1w,A_2w,B_2w,C_2w
Antigen-presenting cell,2.19,0.51,3.54,5.64,2.4,3.63
B cell precursor,0.72,0.12,0.87,3.47,1.28,1.21
B cell/DC,2.86,2.46,2.62,1.59,2.88,2.1
Chondrocyte,0.27,0.35,0.53,0.93,0.52,0.27
Chondrocyte-related,5.26,0.82,10.78,14.04,5.57,7.43
Dendritic cell,0.54,0.53,0.42,0.45,1.68,0.82
Endothelial cell,0.98,1.8,0.83,0.26,1.12,0.52
Erythrocyte,6.48,0.18,4.11,3.0,0.84,2.14
Erythroid precursor,2.58,3.36,3.8,2.77,7.17,5.98
Fibroblast,20.77,18.93,17.87,16.63,19.72,23.4
Macrophage/DC,4.59,1.0,6.39,5.86,2.73,3.5
Mast cell,0.5,0.11,0.56,1.14,0.46,0.61
Mature Neutrophil,5.06,0.75,6.07,6.42,2.87,3.79
Neutrophil,0.58,46.0,5.32,0.46,19.2,1.96
Neutrophil (defensin+),4.26,0.28,3.3,4.74,1.85,3.14
Neutrophil/Monocyte,12.48,1.81,12.11,17.78,10.2,11.45
Proliferating cell,3.87,0.71,6.28,9.27,3.74,6.48
Stromal/Perivascular cell,6.89,0.12,0.32,0.08,0.04,0.06
T cell,19.1,20.16,14.27,5.49,15.73,21.5
