leiden,A,B,C,A_2w,B_2w,C_2w
0,2951,2913,2465,745,2213,2457
1,2611,2102,2474,1252,1902,1692
2,90,6645,919,63,2700,224
3,1928,262,2091,2413,1435,1309
4,813,118,1862,1906,784,849
5,597,633,612,1005,872,983
6,598,102,1084,1258,526,741
7,782,109,1049,871,403,433
8,398,485,656,376,1009,684
9,709,144,1103,795,384,400
10,339,74,612,766,337,415
11,658,41,570,643,260,359
12,1001,26,709,407,118,245
13,442,355,452,216,405,240
14,1064,18,55,11,5,7
15,111,17,151,471,180,138
16,151,260,144,35,158,59
17,84,77,73,61,236,94
18,78,16,96,155,65,70
19,42,50,92,126,73,31
