3,0,1,12,8,11,5,7,14,4,18,9,13,16,10,6,15,2,17,19
S100a9,RGD1559482,Sparc,Hbb,Tpt1,Np4,ENSRNOG00000062930,S100a9,Mfap5,AABR07060872.1,Mcpt9,Plac8,Cd74,Igfbp7,Cd74,LOC100359583,Ebf1,G0s2,Ifi30,Col2a1
S100a8,Cd68,Col3a1,Hba-a1,Rpl13,RatNP-3b,Col1a1,Camp,Sfrp4,Rps11,Mcpt10,Fcnb,RT1-Ba,Col4a1,AABR07060872.1,Hnrnpa2b1,Clvs1,Fth1,Siglech,Snorc
Retnlg,Lgmn,Serpinh1,Ahsp,Rpl13a,Defa5,Sparc,Tf,Ackr3,Cd79a,Hdc,Lyz2,RT1-Da,Tm4sf1,Cd79a,Cd79a,Mt-co3,Cxcl2,Rpl31,Ecrg4
Gng10-1,Ctss,Col1a1,Car2,Rplp1,Serpinb1a,Col3a1,S100a8,Serping1,Ighm,RGD1559662,Hopx,RT1-Db1,Hspb1,Ighm,Stmn1,ENSRNOG00000062930,Nos2,Rnase6,Hapln1
Lrg1,Cd14,Col1a2,Gypa,Rps23,Hmgn2,Col1a2,Ngp,Clec3b,Hnrnpa2b1,Il1rl1,Ly6c,RT1-Bb,Gng11,Rps11,Rps11,Mt-atp6,Il1b,Cyb561a3,Col11a1
Pglyrp1,Npc2,Bgn,Slc4a1,Rps27,Srgn,Fn1,Anxa1,Htra3,Oaz1,Srgn,Rpl10,Cst3,Cavin3,Fcmr,Cd24,Mt-co1,Hcar2,Psap,Col9a3
Tyrobp,Psap,Col5a2,Prdx2,Rps21,Nkg7,Hspa1b,Pglyrp1,C4b,Plac8,Prg2,Rplp0,Rplp0,Pdlim1,RT1-Db1,Hmgb2,Mt-nd1,Srgn,Tcf4,Sparc
G0s2,Fxyd2,Pcolce,Ybx3,AABR07017902.1,Ms4a3,Vim,Ceacam4,Dcn,Hsp90ab1,Fcer1a,Actg1,Ifi30,Col18a1,Ms4a1,Ezh2,Mt-nd2,Cebpb,Plac8,Comp
S100a11,Pf4,Fstl1,Alas2,B3galt4,LOC24906,Lum,Lcn2,Dpt,Cd72,Rgs1,Gpx1,Rpl10,Col4a2,RT1-Da,Rps29,Mt-cyb,Fcer1g,Spint2,Cnmd
MGC105649,Clec4a3,Ifitm3,Glrx5,Eef1a1,Camp,Lgals1,Ifitm6,Col3a1,Tifa,Cma1,Psap,Syngr2,Vps25,Cd83,AABR07035218.1,Bach2,Sod2,Pld4,Col9a2
Sirpal1,Lgals3,Dcn,Hemgn,Rpl32,Defa5-ps2,S100a6,LOC24906,C1s,Ebf1,Ms4a2,Coro1a,Ifitm1,Vim,Cxcr4,Rpl18a,Mt-nd4,Plin2,Gpr171,Col9a1
Mmp8,Ctsb,Cthrc1,Rhd,B2m,Mpo,Serpinh1,Sri,Serpinf1,Rps27,Plek,RT1-DMa,Lsp1,Crip2,Rpl35,Ppia,H4f3,Ccl3,Bst2,Mgp
Gadd45a,Aif1,Col6a1,RGD1565355,Rpl18a,Mgst1,S100a4,Dstn,Cxcl12,Rpl27,Itm2b,Ly49si2,Cst7,Cav1,Rps27,Hmgb2l1,Mt-co2,Il1rn,Serp1,Cst3
Ccl6,Folr2,Ppic,Tmcc2,Rpl23a,S100a8,S100a10,Serpinb1a,Col14a1,Rpl24,Gata2,Cd14,Rps2,Ifi27,Ifi30,Dut,Spats1,B2m,Ap1s2,Mt1
Lyz2,Cstb,Nupr1l1,Lgals5,Cd3e,Serpinb10,Dcn,Gng10-1,C1r,LOC687780,Cpa3,Ccr2,Rps27a,Ifitm3,Rpl13a,Rpl28,Mt-nd3,Nfkbia,Tspan13,Mia
Hcar2,Apoe,Col6a2,Fech,Rps29,LOC120099372,Col6a1,Tmsb4x,Rarres2,Cd24,Tax1bp1,LOC24906,Atox1,Apold1,Cd69,H2az1,H1f4,Il1r2,Cd7,Col11a2
Slfn4,Mafb,Vkorc1,Hmbs,Rps15,S100a9,Htra1,Hp,C4a,Rpl17,Csf2rb,Gm2a,Zc3h10,Sparc,Cd79b,Ighm,Foxp1,Lilrb4,Cd164,Fmod
Tmsb4x,RT1-DMa,Aebp1,Slc25a37,Rpl23,Defa11,Bgn,Plbd1,Igfbp6,Clvs1,Nkg7,S100a6,RT1-DMa,Emp1,Hsp90ab1,Tubb5,Aff3,Slpi,Ftsj1,Bgn
Eif1,Gpx1,Timp1,Blvrb,Rplp2,Cox5a,Col5a2,Cd177,Gfpt2,Rps14,Rgs2,Rps9,Tmsb10,Hspa1b,RT1-Ba,Rps6-1,H1f5,Bcl2a1,Rgs1,Ccn2
Alox5ap,Ftl1,Selenom,Sec61g,Rps4x,Dstn,Tmsb10,Msrb1,Has1,Tpt1,Dnase2b,Glipr1,Nr4a3,Mcam,Plac8,Rplp1,Mt-nd5,Slfn4,Rpl10,Mt2A
Nudt4,Ctsl,Lgals1,Tfrc,Rps15a,Fam111a,Timp1,Fpr2,LOC108348067,Rpl35,Lat2,Cybb,LOC102547700,Esam,Rps15,Rpl15,Arhgap15,H3f3a,Errfi1,PCOLCE2
Stfa2l3,Ctsz,ENSRNOG00000064136,Rhag,Rpl21-1,Hmgb2,Crip1,Arhgdib,Mfap2,Rpl13a,Sqstm1,Pycard,Actb,Sparcl1,Crem,H2az2,Hist1h2bo,Tax1bp1,Grn,Acan
Chi3l1,Tmem176b,Serpinf1,Bcas2,Rps16,Sri,Cd63,Actb,Ctsl,Rpl26,Car8,Pabpc1,Ikzf4,Col15a1,ENSRNOG00000064589,Rpl23a,ENSRNOG00000062927,Plaur,Tyrobp,Scrg1
Fcgr2a-ps1,Ninj1,Rcn1,Spta1,Rpl5,Plac8,Tnfaip6,Lcp1,Mmp2,Hsp90aa1,Samsn1,Mgst1,Psmb9,Fkbp1a,Rpl26,Rps16,Cecr2,Slfn2,Cd74,Chad
Sod2,Trem2,Lum,Tent5c,Rps14,Ctsg,Col6a2,LOC120099372,Ccdc80,Vpreb3,Gzmb,Calm1,Nr4a2,Eng,Rpl17,Rps12,Mgat5,Plek,Jchain,S100b
