group,names,scores,logfoldchanges,pvals,pvals_adj
0,RGD1559482,167.7309,5.0085335,0.0,0.0
0,Cd68,152.07912,4.4304514,0.0,0.0
0,Lgmn,151.25435,4.1711597,0.0,0.0
0,Ctss,146.77298,4.067777,0.0,0.0
0,Cd14,146.07553,4.1726747,0.0,0.0
0,Npc2,143.56354,3.2500339,0.0,0.0
0,Psap,142.75882,2.8635771,0.0,0.0
0,Fxyd2,139.90424,4.6428294,0.0,0.0
0,Pf4,139.17404,4.611008,0.0,0.0
0,Clec4a3,134.6203,4.7351046,0.0,0.0
0,Lgals3,133.80273,2.8923123,0.0,0.0
0,Ctsb,132.59941,2.6646547,0.0,0.0
0,Aif1,131.24593,3.5521905,0.0,0.0
0,Folr2,130.09595,5.2020874,0.0,0.0
0,Cstb,128.59634,2.4411156,0.0,0.0
0,Apoe,128.54459,3.7602522,0.0,0.0
0,Mafb,128.26329,3.8866487,0.0,0.0
0,RT1-DMa,126.65673,3.616071,0.0,0.0
0,Gpx1,126.11403,2.1577976,0.0,0.0
0,Ftl1,126.052826,1.947964,0.0,0.0
0,Ctsl,125.814255,3.0515113,0.0,0.0
0,Ctsz,125.286705,3.1489244,0.0,0.0
0,Tmem176b,125.18096,4.398364,0.0,0.0
0,Ninj1,124.47392,2.902184,0.0,0.0
0,Trem2,124.460464,5.087124,0.0,0.0
0,Gpnmb,123.72528,3.3207989,0.0,0.0
0,Ifi30,123.03196,2.9405792,0.0,0.0
0,Glul,122.64027,2.8456435,0.0,0.0
0,Dab2,120.57789,3.3768172,0.0,0.0
0,Cd300le,120.232834,4.3515315,0.0,0.0
0,Cyba,118.6101,2.5100856,0.0,0.0
0,Cd63,118.354454,2.3681793,0.0,0.0
0,Gdf15,117.72059,4.0327897,0.0,0.0
0,Hmox1,117.09018,3.1807456,0.0,0.0
0,Fabp5,116.51869,2.9346411,0.0,0.0
0,Bcl2a1,115.12629,3.0237706,0.0,0.0
0,Pltp,114.45308,3.8808718,0.0,0.0
0,Ckb,114.00913,2.7947555,0.0,0.0
0,Ctsd,113.48988,2.6744537,0.0,0.0
0,Ctsa,112.89029,2.5414717,0.0,0.0
0,Prdx1,112.273224,2.3546467,0.0,0.0
0,Slamf9,110.74428,4.5726666,0.0,0.0
0,Tmem176a,110.54647,4.266004,0.0,0.0
0,S100a4,109.75915,2.6403637,0.0,0.0
0,RT1-DMb,109.40883,3.3261268,0.0,0.0
0,Capg,109.07327,2.5903854,0.0,0.0
0,Sdc4,108.832,2.6944268,0.0,0.0
0,Cst3,108.279366,2.5354297,0.0,0.0
0,Pld3,107.445786,3.3308542,0.0,0.0
0,Cfh,107.21424,3.5390174,0.0,0.0
1,Sparc,167.10437,4.262717,0.0,0.0
1,Col3a1,162.36832,3.9038618,0.0,0.0
1,Serpinh1,161.41063,4.308545,0.0,0.0
1,Col1a1,160.02364,3.7766478,0.0,0.0
1,Col1a2,159.15681,3.8473456,0.0,0.0
1,Bgn,154.79141,4.0910544,0.0,0.0
1,Col5a2,154.64616,4.249994,0.0,0.0
1,Pcolce,153.47212,4.341147,0.0,0.0
1,Fstl1,152.87352,4.28767,0.0,0.0
1,Ifitm3,150.86487,4.3753057,0.0,0.0
1,Dcn,150.66916,4.4165382,0.0,0.0
1,Cthrc1,149.06023,4.4240775,0.0,0.0
1,Col6a1,148.67566,4.1239414,0.0,0.0
1,Ppic,148.21487,4.3316774,0.0,0.0
1,Nupr1l1,148.0013,4.442021,0.0,0.0
1,Col6a2,147.21176,4.0369215,0.0,0.0
1,Vkorc1,146.04248,3.9175613,0.0,0.0
1,Aebp1,145.77876,4.265396,0.0,0.0
1,Timp1,145.48703,3.8719468,0.0,0.0
1,Selenom,145.33264,4.259119,0.0,0.0
1,Lgals1,144.64616,3.4154077,0.0,0.0
1,ENSRNOG00000064136,144.39662,4.1894965,0.0,0.0
1,Serpinf1,143.96893,4.194447,0.0,0.0
1,Rcn1,143.42036,3.9187565,0.0,0.0
1,Lum,143.2945,3.9601986,0.0,0.0
1,Rarres2,143.28462,4.2974334,0.0,0.0
1,Htra1,141.64131,3.8538465,0.0,0.0
1,Mmp2,141.2513,3.9562852,0.0,0.0
1,Cavin3,141.085,4.128423,0.0,0.0
1,Ppib,140.20532,2.8774319,0.0,0.0
1,Gpx8,140.06085,4.3734612,0.0,0.0
1,Gja1,139.29039,3.769161,0.0,0.0
1,Sdc2,139.06682,4.114329,0.0,0.0
1,C1r,138.89352,3.9853725,0.0,0.0
1,Tceal9,138.80704,3.7222645,0.0,0.0
1,Tnn,137.72852,4.0202594,0.0,0.0
1,Mmp14,137.5938,3.5724638,0.0,0.0
1,Copz2,137.43556,4.267471,0.0,0.0
1,Efemp2,137.24243,4.013571,0.0,0.0
