cell_type,C-A_1w,C-A_2w,C-B_1w,C-B_2w,C_2w-1w
Antigen-presenting cell,1.35,-2.01,3.0300000000000002,1.23,0.08999999999999986
B cell precursor,0.15000000000000002,-2.2600000000000002,0.75,-0.07000000000000006,0.33999999999999997
B cell/DC,-0.23999999999999977,0.51,0.16000000000000014,-0.7799999999999998,-0.52
Chondrocyte,0.26,-0.66,0.18000000000000005,-0.25,-0.26
Chondrocyte-related,5.52,-6.609999999999999,9.959999999999999,1.8599999999999994,-3.3499999999999996
Dendritic cell,-0.12000000000000005,0.36999999999999994,-0.11000000000000004,-0.86,0.39999999999999997
Endothelial cell,-0.15000000000000002,0.26,-0.9700000000000001,-0.6000000000000001,-0.30999999999999994
Erythrocyte,-2.37,-0.8599999999999999,3.93,1.3000000000000003,-1.9700000000000002
Erythroid precursor,1.2199999999999998,3.2100000000000004,0.43999999999999995,-1.1899999999999995,2.1800000000000006
Fibroblast,-2.8999999999999986,6.77,-1.0599999999999987,3.6799999999999997,5.529999999999998
Macrophage/DC,1.7999999999999998,-2.3600000000000003,5.39,0.77,-2.8899999999999997
Mast cell,0.06000000000000005,-0.5299999999999999,0.45000000000000007,0.14999999999999997,0.04999999999999993
Mature Neutrophil,1.0100000000000007,-2.63,5.32,0.9199999999999999,-2.2800000000000002
Neutrophil,4.74,1.5,-40.68,-17.24,-3.3600000000000003
Neutrophil (defensin+),-0.96,-1.6,3.0199999999999996,1.29,-0.1599999999999997
Neutrophil/Monocyte,-0.370000000000001,-6.330000000000002,10.299999999999999,1.25,-0.6600000000000001
Proliferating cell,2.41,-2.789999999999999,5.57,2.74,0.20000000000000018
Stromal/Perivascular cell,-6.569999999999999,-0.020000000000000004,0.2,0.019999999999999997,-0.26
T cell,-4.830000000000002,16.009999999999998,-5.890000000000001,5.77,7.23
